"","x"
"1","nicotinamide nucleotide metabolic process"
"2","pyridine nucleotide metabolic process"
"3","protein polymerization"
"4","generation of precursor metabolites and energy"
"5","defense response to fungus"
"6","actin polymerization or depolymerization"
"7","actin filament organization"
"8","neutrophil-mediated killing of bacterium"
"9","RNA splicing, via transesterification reactions"
"10","fat pad development"
"11","regulation of neuron apoptotic process"
"12","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress"
"13","neuron apoptotic process"
"14","regulation of apoptotic signaling pathway"
"15","regulation of protein-containing complex assembly"
"16","positive regulation of fatty acid biosynthetic process"
"17","positive regulation of brown fat cell differentiation"
"18","negative regulation of intrinsic apoptotic signaling pathway"
"19","T cell differentiation"
"20","cellular response to lipid"
"21","adipose tissue development"
"22","mononuclear cell differentiation"
"23","neutrophil migration"
"24","interleukin-6 production"
"25","leukocyte chemotaxis"
"26","cellular response to lipopolysaccharide"
"27","granulocyte migration"
"28","regulation of hemopoiesis"
"29","cytokine-mediated signaling pathway"
"30","cellular response to interleukin-1"
"31","response to lipopolysaccharide"
"32","response to glucose"
"33","glomerulus vasculature development"
"34","regulation of vasculature development"
"35","negative regulation of insulin secretion involved in cellular response to glucose stimulus"
"36","regulation of calcium ion transmembrane transport via high voltage-gated calcium channel"
"37","chemotaxis"
"38","leukocyte migration"
"39","phagocytosis"
"40","cell chemotaxis"
"41","response to molecule of bacterial origin"
"42","peptide antigen assembly with MHC class I protein complex"
"43","regulation of type II hypersensitivity"
"44","natural killer cell cytokine production"
"45","positive regulation of cell killing"
"46","response to nicotine"
"47","detection of bacterium"
"48","interleukin-4 production"
"49","regulation of T cell cytokine production"
"50","regulation of innate immune response"
"51","blood vessel remodeling"
"52","leukocyte cell-cell adhesion"
